NOTICE: 2018-10-29 11:28:36  reuqest_uri [/index.php/platmis/app/login] refer [http://127.0.0.1:8090/platmis/app/login]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-29 11:28:38  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-29 11:28:38  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":38,"db_query":3}] request and response done 
NOTICE: 2018-10-29 11:28:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-29 11:28:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-29 11:29:11  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-29 11:29:11  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":9,"db_query":1}] request and response done 
NOTICE: 2018-10-29 11:29:14  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-29 11:29:14  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
