NOTICE: 2018-10-24 14:49:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":5,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:50:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:50:45  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":20,"db_query":0}] request and response done 
NOTICE: 2018-10-24 14:51:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:51:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":0}] request and response done 
NOTICE: 2018-10-24 14:51:06  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:51:06  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":0}] request and response done 
NOTICE: 2018-10-24 14:51:31  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:51:31  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":0}] request and response done 
NOTICE: 2018-10-24 14:51:34  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:51:34  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":0}] request and response done 
NOTICE: 2018-10-24 14:51:36  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:51:36  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 14:51:38  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 14:51:38  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":1}] request and response done 
NOTICE: 2018-10-24 15:58:37  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 15:58:37  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/authmis/authdetail]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":7,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:04:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:04:03  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":4,"db_query":0}] request and response done 
NOTICE: 2018-10-24 16:04:19  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:04:19  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 16:05:39  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:05:39  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:05:50  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:05:50  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":2,"db_query":0}] request and response done 
NOTICE: 2018-10-24 16:06:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:06:00  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
NOTICE: 2018-10-24 16:24:28  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:24:28  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":11,"db_query":1}] request and response done 
NOTICE: 2018-10-24 16:28:26  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] Database Driver Class Initialized 
NOTICE: 2018-10-24 16:28:26  reuqest_uri [/index.php/platmis/authmis/userlist] refer [http://127.0.0.1:8090/platmis/app/index]  client_ip [127.0.0.1]  module [platmis]  uid [0] time: [{"ts_all":3,"db_query":0}] request and response done 
